127.0.0.1 - - [24/Nov/2021:14:12:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:29 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:32 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:33 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:42 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:42 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:57 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:57 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:58 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:58 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:12:58 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:13:23 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:15:39 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:15:40 +0900] "GET /Ex_1124/image/backgroundImage.gif HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:17:19 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:17:27 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:17:47 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:18:25 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:18:35 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:18:40 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:18:44 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:42 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:44 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:45 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:45 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:45 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:45 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:46 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:19:54 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:20:56 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:20:59 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:20:59 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:20:59 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:22:49 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:23:45 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:24:36 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:25:34 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:25:40 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:25:41 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:14:25:47 +0900] "GET /Ex_1124/ex01_list_style.html HTTP/1.1" 200 678
