127.0.0.1 - - [23/Nov/2021:14:14:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:14:32 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:14:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:20:32 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:21:27 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:21:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:21:28 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:21:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:31:33 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:31:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:31:36 +0900] "GET /Ex_1123/ex01_sematic_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:36:12 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:39:57 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [23/Nov/2021:14:44:01 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [23/Nov/2021:15:11:18 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:15:11:21 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2021:15:11:21 +0900] "GET /Ex_1123/ex02_color.html HTTP/1.1" 304 -
